3,1,20150302220013,U,00169,Roma,RM,3,20150302221157,U,00043,Ciampino,RM,3,11500,16,13,3
3,1,20150305173819,U,00043,Ciampino,RM,3,20150305175101,U,00043,Ciampino,RM,3,1300,2,14,6
3,1,20150306083643,U,00043,Ciampino,RM,3,20150306083941,U,00043,Ciampino,RM,3,300,4,4,3
3,1,20150307171338,E,00173,Roma,RM,3,20150307173903,U,00043,Ciampino,RM,3,16000,11,26,2
3,1,20150308120946,U,00043,Ciampino,RM,3,20150308122632,A,00133,Roma,RM,3,10900,13,18,6
3,1,20150313100238,E,00173,Roma,RM,3,20150313102846,U,00043,Ciampino,RM,3,19800,12,28,4
3,1,20150314125559,U,00043,Ciampino,RM,3,20150314125850,U,00043,Ciampino,RM,3,400,4,4,3
3,1,20150314163656,U,00043,Ciampino,RM,3,20150314164331,U,00043,Ciampino,RM,3,1500,3,8,3
3,1,20150314232350,U,00186,Roma,RM,2,20150314235924,U,00162,Roma,RM,2,8800,5,36,14
3,1,20150320154523,U,00043,Ciampino,RM,3,20150320154812,U,00043,Ciampino,RM,3,200,1,4,3
3,2,20150322191801,A,03012,Anagni,FR,3,20150322194917,U,00169,Roma,RM,6,46700,28,33,6
3,1,20150327163137,U,00043,Ciampino,RM,3,20150327163628,U,00043,Ciampino,RM,3,1300,21,6,2
3,1,20150327163702,U,00043,Ciampino,RM,3,20150327185423,U,80058,Torre Annunziata,NA,3,227700,80,75,6
3,1,20150327195305,U,80058,Torre Annunziata,NA,3,20150327201346,U,80053,Castellammare di Stabia,NA,3,10200,31,22,3
3,1,20150327213153,U,80053,Castellammare di Stabia,NA,3,20150327215245,E,80041,Boscoreale,NA,3,9400,33,22,6
3,1,20150327233207,E,80058,Torre Annunziata,NA,3,20150327234121,U,80058,Torre Annunziata,NA,3,3300,23,10,1
3,1,20150328065933,U,80058,Torre Annunziata,NA,3,20150328070512,U,80058,Torre Annunziata,NA,3,0,10,2,0
3,1,20150328070520,U,80058,Torre Annunziata,NA,3,20150328073457,U,80054,Gragnano,NA,3,13300,30,31,4
3,1,20150328075712,E,80053,Castellammare di Stabia,NA,3,20150328081210,U,80058,Torre Annunziata,NA,3,5900,24,16,1
3,1,20150328081410,U,80058,Torre Annunziata,NA,3,20150328082027,E,80058,Torre Annunziata,NA,3,900,16,8,6
3,1,20150328082114,E,80058,Torre Annunziata,NA,3,20150328082736,U,80058,Torre Annunziata,NA,3,1500,14,8,2
3,1,20150328121927,U,80045,Pompei,NA,3,20150328123113,U,80058,Torre Annunziata,NA,3,4600,29,13,4
3,1,20150328134103,U,80058,Torre Annunziata,NA,3,20150328134239,U,80058,Torre Annunziata,NA,3,0,0,3,3
3,1,20150328154204,U,80058,Torre Annunziata,NA,3,20150328154322,U,80058,Torre Annunziata,NA,3,0,0,3,3
3,1,20150329195402,U,84018,Scafati,SA,3,20150329202251,A,81020,San Nicola la Strada,CE,3,45200,110,30,5
3,1,20150401125509,U,00043,Ciampino,RM,3,20150401130125,U,00043,Ciampino,RM,3,1300,21,8,4
3,1,20150401154651,U,00043,Ciampino,RM,3,20150401155815,U,00043,Ciampino,RM,3,2100,15,13,5
